                           WORDS	COUNTS
                               что:	1663
                           субъект:	1383
                               д-р:	1283
                               как:	869
                               это:	808
                              души:	616
                             жизни:	515
                               мне:	470
                               они:	468
                             когда:	414
                               все:	356
                             чтобы:	340
                           которые:	307
                              меня:	288
                               она:	257
                               так:	257
                               душ:	256
                             время:	237
                               его:	235
                             земле:	226
                              если:	224
                             после:	212
                             более:	205
                              того:	204
                              быть:	189
                              мире:	188
                              душа:	182
                               нас:	181
                              себя:	170
                               нет:	169
                             может:	167
                          духовном:	165
                               еще:	164
                               вас:	159
                               мир:	159
                               эти:	154
                             своей:	152
                               том:	148
                             жизнь:	148
                             здесь:	147
                               чем:	147
                               вам:	146
                             также:	146
                            потому:	141
                             могут:	139
                             людей:	133
                              есть:	132
                               нам:	131
                              люди:	130
                              было:	129
                            больше:	128
                            группы:	128
                            почему:	123
                              этой:	121
                              этом:	119
                            смерти:	117
                              были:	116
                             через:	114
                              друг:	111
                              этот:	111
                          духовный:	110
                               был:	110
                             нашей:	109
                          является:	109
                            сейчас:	108
                             вашей:	107
                            другие:	107
                             своих:	106
                               где:	105
                               мои:	104
                           который:	103
                            вместе:	103
                              была:	103
                            только:	102
                             пауза:	100
                            своего:	100
                            просто:	100
                              хочу:	99
                             очень:	99
                            хорошо:	99
                         духовного:	99
                             между:	98
                               кто:	96
                            случае:	95
                              моих:	95
                            других:	94
                             этого:	94
                               уже:	94
                        происходит:	94
                           времени:	94
                              тела:	93
                              свою:	90
                              тело:	90
                               мой:	89
                               них:	88
                              этих:	88
                           которая:	87
                           образом:	86
                               тем:	86
                           энергии:	83
                          субъекты:	83
                             место:	82
                              моей:	81
                            всегда:	80
                         некоторые:	79
                              могу:	78
                               эта:	77
                              всех:	76
                         состоянии:	75
                              один:	73
                              хотя:	71
                          субъекта:	71
                            случай:	71
                              гиды:	71
                              мира:	71
                              свои:	71
                             много:	70
                          являются:	70
                              знаю:	70
                            вокруг:	70
                            обычно:	70
                             собой:	69
                              даже:	68
                               там:	68
                             затем:	68
                         субъектов:	67
                              наши:	67
                             имеет:	67
                            теперь:	66
                              себе:	65
                            можете:	64
                           которое:	63
                            жизнях:	63
                               лет:	62
                     действительно:	62
                             имеют:	62
                             думаю:	61
                              гида:	60
                            однако:	60
                            дальше:	59
                          развития:	59
                             всего:	59
                            момент:	59
                            жизней:	59
                           прошлой:	58
                            должны:	58
                          возможно:	58
                          духовной:	58
                            что-то:	57
                             землю:	57
                             друга:	57
                             будет:	57
                             тогда:	57
                           которых:	56
                            душами:	56
                            выбора:	55
                              свое:	55
                             самом:	55
                             можно:	55
                              свой:	55
                            видите:	55
                          существа:	54
                             перед:	53
                               тех:	53
                             назад:	53
                             менее:	53
                             часто:	53
                             своим:	52
                            иногда:	52
                           немного:	52
                           кажется:	52
                               раз:	52
                              рода:	52
                           слишком:	51
                            нашего:	51
                          качестве:	51
                              мной:	51
                               моя:	51
                           прошлых:	50
                             земли:	50
                             можем:	50
                              ваша:	50
                            именно:	49
                            другой:	49
                              деле:	49
                             своем:	49
                        существует:	49
                           сказать:	48
                              этим:	48
                         находятся:	48
                          особенно:	48
                               ему:	48
                             такой:	47
                             такие:	47
                           процесс:	47
                             снова:	47
                              тому:	47
                            вашего:	46
                              вами:	46
                             могли:	46
                              теле:	46
                       возможность:	46
                           которой:	45
                             моего:	45
                               той:	45
                             такое:	45
                            уровня:	45
                            многих:	45
                        физической:	45
                             душам:	45
                             людям:	45
                          означает:	45
                            людьми:	44
                             таким:	44
                          духовных:	44
                          довольно:	43
                             наших:	43
                              ними:	43
                               уме:	43
                           энергия:	43
                           поэтому:	43
                           существ:	43
                         несколько:	43
                            быстро:	42
                           энергию:	42
                              душу:	42
                              вижу:	42
                            помочь:	42
                         различные:	42
                               гид:	41
                             мысли:	41
                            каждый:	41
                            своими:	41
                              наша:	41
                           ребенка:	41
                           чувство:	41
                             места:	40
                            понять:	40
                           смеется:	40
                               ним:	40
                           другими:	39
                           никогда:	39
                             гидов:	38
                             одной:	38
                           учителя:	38
                           человек:	38
                              опыт:	38
                        примечание:	38
                              свет:	37
                               эту:	37
                           которую:	37
                               мог:	37
                         пациентов:	37
                             душой:	37
                            трудно:	37
                            внутри:	37
                          какие-то:	37
                           делаете:	37
                             иметь:	37
                             сразу:	36
                        расскажите:	36
                               два:	35
                              нами:	35
                              виду:	35
                           говорит:	35
                              него:	35
                         различных:	34
                             лучше:	34
                            вопрос:	34
                            другом:	34
                              пути:	34
                            группе:	34
                       возможности:	34
                              боль:	34
                          например:	34
                           которым:	34
                          обучения:	34
                      пространство:	33
                               ваш:	33
                            значит:	33
                          чувствую:	33
                           степени:	33
                           гипноза:	33
                         находится:	33
                             гидом:	33
                             итоге:	33
                           уровень:	32
                         полностью:	32
                             месте:	32
                           конечно:	32
                            видеть:	32
                              лишь:	32
                              одна:	32
                             глава:	32
                             главе:	32
                            одного:	32
                            должен:	32
                          конечном:	32
                            сеанса:	31
                     существования:	31
                         отношению:	31
                           встречи:	31
                        чувствуете:	31
                           принять:	31
                          духовные:	31
                       большинство:	31
                              итак:	31
                         отношения:	31
                             хотел:	31
                             групп:	30
                             связи:	30
                             другу:	30
                          человека:	30
                            уровне:	30
                           следует:	30
                            словно:	30
                        физических:	30
                              пока:	29
                           увидеть:	29
                      человеческой:	29
                           контакт:	29
                              роль:	29
                            узнать:	29
                             связь:	29
                            делать:	29
                            такого:	29
                               тис:	29
                           говорят:	29
                            частью:	29
                               тот:	29
                          сознания:	29
                             таких:	29
                             будут:	29
                               ней:	29
                               три:	28
                            раньше:	28
                            прежде:	28
                             формы:	28
                           сделать:	28
                               мое:	28
                          духовную:	28
                              одно:	28
                          рождения:	28
                          пациенты:	28
                            хотите:	28
                          источник:	28
                            бывает:	28
                         поскольку:	28
                             позже:	28
                            многие:	28
                             иначе:	28
                            должна:	28
                           случаях:	27
                              цвет:	27
                           пациент:	27
                             света:	27
                             ваших:	27
                              наше:	27
                               наш:	27
                          какой-то:	27
                              силы:	27
                           течение:	27
                      пространстве:	27
                            сказал:	27
                            ничего:	27
                            период:	27
                              моим:	27
                            каждой:	27
                            друзья:	26
                              куда:	26
                             нужно:	26
                           стороны:	26
                  действительности:	26
                              мере:	26
                             знать:	26
                            долгая:	26
                              роли:	26
                      относительно:	26
                            своему:	26
                           вопросы:	26
                             конце:	26
                      представляют:	26
                        необходимо:	25
                          какое-то:	25
                      представляет:	25
                            видели:	25
                          ответьте:	25
                            вперед:	25
                            другим:	25
                               нее:	25
                       продолжайте:	25
                      определенные:	25
                              всем:	25
                             этому:	25
                           помощью:	25
                              туда:	25
                         некоторых:	25
                            имеете:	25
                        физические:	24
                               кем:	24
                             форме:	24
                           решение:	24
                            совсем:	24
                      воспоминания:	24
                         следующей:	24
                          внимание:	24
                     человеческого:	24
                              путь:	24
                             рядом:	24
                             знаем:	24
                             важно:	24
                          способны:	24
                             каким:	24
                             видят:	24
                              сами:	24
                        достаточно:	24
                              двух:	24
                            знаете:	24
                          существо:	24
                        становится:	24
                             выбор:	24
                              сила:	24
                          находясь:	24
                          наиболее:	24
                              моем:	24
                             таком:	24
                             телом:	23
                        рассказать:	23
                               сам:	23
                              силу:	23
                               оно:	23
                            готовы:	23
                         насколько:	23
                            гидами:	23
                             телах:	23
                             опыта:	23
                      человеческих:	23
                             часть:	23
                             земля:	23
                          которого:	23
                         вселенной:	23
                            высшей:	23
                            группа:	23
                            памяти:	23
                           сколько:	22
                            скорее:	22
                           давайте:	22
                              ваши:	22
                         постоянно:	22
                          духовное:	22
                               эго:	22
                           встреча:	22
                          приходит:	22
                          друзьями:	22
                              круг:	22
                          говорили:	22
                            помимо:	22
                            жизнью:	22
                       впечатление:	22
                          значение:	22
                              вило:	22
                           женщина:	22
                             стать:	22
                          которыми:	21
                               ума:	21
                          сущность:	21
                            должно:	21
                             самэс:	21
                        существами:	21
                      рассказывают:	21
                             узнал:	21
                          личности:	21
                           жизнями:	21
                             члены:	21
                           подобно:	21
                           зависит:	21
                             могла:	21
                            друзей:	21
                       способность:	21
                             знает:	21
                              ваше:	21
                            меньше:	20
                           решения:	20
                            самого:	20
                             нашим:	20
                          описания:	20
                             знают:	20
                           влияние:	20
                             какое:	20
                              мать:	20
                        информации:	20
                               вот:	20
                          получить:	20
                            членов:	20
                              эшли:	20
                            знания:	20
                            группу:	20
                         понимание:	20
                            транса:	20
                            помощи:	20
                           группах:	20
                             цвета:	20
                      человеческие:	20
                         вернуться:	20
                         состояние:	20
                         настолько:	20
                          личность:	20
                             почти:	20
                         отношении:	20
                          действия:	20
                        протяжении:	20
                           каждого:	20
                          духовным:	19
                             какие:	19
                       продвинутые:	19
                              тоже:	19
                         категории:	19
                         родителей:	19
                          начинает:	19
                              ниже:	19
                          нравится:	19
                              кого:	19
                          ситуации:	19
                          процессе:	19
                         чувствуют:	19
                              душе:	19
                      рассказывали:	19
                             стива:	19
                             новой:	19
                         благодаря:	19
                          компании:	19
                           случаев:	19
                          условиях:	19
                            пришел:	19
                           женщины:	19
                           клоудиз:	19
                           думаете:	19
                            вообще:	18
                             любви:	18
                           сторону:	18
                            делают:	18
